instance,c_optimal_value,2c_optimal_value,3c_optimal_value,4c_optimal_value,5c_optimal_value,6c_optimal_value,7c_optimal_value,8c_optimal_value,9c_optimal_value,10c_optimal_value,2c vs c,3c vs 2c,4c vs 3c,5c vs 4c,6c vs 5c,7c vs 6c,8c vs 7c,9c vs 8c,10c vs 9c ,,Valori medi,
104,94370352180,46539014065,46377369970,46329705972,46308400282,46308400246,46308400255,46308400255,46308400284,46308400251,"102,78%","0,35%","0,10%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
105,78173876768,40007822848,39871859609,39847859114,39827859830,39823853396,39819853524,39817850208,39817850203,39817850256,"95,40%","0,34%","0,06%","0,05%","0,01%","0,01%","0,01%","0,00%","0,00%",,,
106,78607031750,43450262653,43324579138,43301046140,43288631508,43288631508,43288631508,43288631513,43288631513,43288631504,"80,91%","0,29%","0,05%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
107,85250102229,44412503815,42700995214,42672106988,42654046742,42651991224,42649935684,42649330060,42649330045,42649330070,"91,95%","4,01%","0,07%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
108,59733588664,45315230154,44606294869,44562291875,44550308879,44550308879,44550308879,44550308879,44550308879,44550308879,"31,82%","1,59%","0,10%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
109,72946329638,40581402917,38964714964,38933044826,38909708423,38909710236,38909710236,38909710196,38909708459,38909708388,"79,75%","4,15%","0,08%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
110,57113255527,36864066079,36694063068,36664749202,36649415572,36643088582,36639255196,36636089768,36636089768,36636089768,"54,93%","0,46%","0,08%","0,04%","0,02%","0,01%","0,01%","0,00%","0,00%",,,
111,86316388349,76219369194,76075905170,76032193566,76013026420,76006070982,76006070974,76006070982,76006070972,76006070981,"13,25%","0,19%","0,06%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
112,149751343437,125197972016,124280447179,124230436590,124206117949,124197114849,124194439664,124194439651,124194441583,124194439664,"19,61%","0,74%","0,04%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
113,184638606172,75465386340,75281042921,75236036683,75221022362,75216021992,75216022004,75216021981,75216021981,75216023850,"144,67%","0,24%","0,06%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
114,163783424227,63205455234,63058815121,63008818528,63008818528,63008818516,63008818523,63008818531,63008818541,63008818548,"159,13%","0,23%","0,08%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
115,99689886769,51577592131,51458914448,51415312009,51405487050,51400763914,51400764001,51400764001,51400764001,51400763928,"93,28%","0,23%","0,08%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
116,89176575498,50969951288,50571519818,50368446899,50368446893,50368446887,50368446887,50368446959,50368446959,50368446959,"74,96%","0,79%","0,40%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
117,"60796584681,9997",46173465019,45652961572,45606649180,45590896876,45588656226,45588656220,45588656215,45588656222,45588656304,"31,67%","1,14%","0,10%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
118,103247446989,86857540249,86438844495,86382673148,86371204716,86370378994,86370379032,86370379054,86370379029,86370379045,"18,87%","0,48%","0,07%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
